


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|           300 |     1286.8076 | Layer 2 | Epoch 9  |
|           400 |      152.3611 | Layer 1 | Epoch 9  |
|           400 |     1284.7994 | Layer 2 | Epoch 9  |
|           500 |      156.8660 | Layer 1 | Epoch 9  |
|           500 |     1283.2524 | Layer 2 | Epoch 9  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      159.8631 | Layer 1 | Epoch 10  |
|             0 |     2482.0146 | Layer 2 | Epoch 10  |
|           100 |      145.4873 | Layer 1 | Epoch 10  |
|           100 |     1379.9326 | Layer 2 | Epoch 10  |
|           200 |      155.4380 | Layer 1 | Epoch 10  |
|           200 |     1299.8629 | Layer 2 | Epoch 10  |
|           300 |      152.6895 | Layer 1 | Epoch 10  |
|           300 |     1283.7833 | Layer 2 | Epoch 10  |
|           400 |      153.0949 | Layer 1 | Epoch 10  |
|           400 |     1283.6429 | Layer 2 | Epoch 10  |
|           500 |      150.8879 | Layer 1 | Epoch 10  |
|           500 |     1286.3816 | Layer 2 | Epoch 10  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      145.9370 | Layer 1 | Epoch 11  |
|             0 |     2532.6982 | Layer 2 | Epoch 11  |
|           100 |      148.5605 | Layer 1 | Epoch 11  |
|           100 |     1386.9385 | Layer 2 | Epoch 11  |
|           200 |      149.4496 | Layer 1 | Epoch 11  |
|           200 |     1298.7850 | Layer 2 | Epoch 11  |
|           300 |      153.4680 | Layer 1 | Epoch 11  |
|           300 |     1291.4521 | Layer 2 | Epoch 11  |
|           400 |      142.7351 | Layer 1 | Epoch 11  |
|           400 |     1281.9736 | Layer 2 | Epoch 11  |
|           500 |      142.3887 | Layer 1 | Epoch 11  |
|           500 |     1294.6470 | Layer 2 | Epoch 11  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      148.7786 | Layer 1 | Epoch 12  |
|             0 |     2513.9678 | Layer 2 | Epoch 12  |
|           100 |      146.6095 | Layer 1 | Epoch 12  |
|           100 |     1371.3633 | Layer 2 | Epoch 12  |
|           200 |      148.3305 | Layer 1 | Epoch 12  |
|           200 |     1296.4294 | Layer 2 | Epoch 12  |
|           300 |      144.8875 | Layer 1 | Epoch 12  |
|           300 |     1290.7773 | Layer 2 | Epoch 12  |
|           400 |      153.6860 | Layer 1 | Epoch 12  |
|           400 |     1273.5708 | Layer 2 | Epoch 12  |
|           500 |      153.2146 | Layer 1 | Epoch 12  |
|           500 |     1280.0039 | Layer 2 | Epoch 12  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      152.5876 | Layer 1 | Epoch 13  |
|             0 |     2463.4233 | Layer 2 | Epoch 13  |
|           100 |      147.8732 | Layer 1 | Epoch 13  |
|           100 |     1370.6259 | Layer 2 | Epoch 13  |
|           200 |      146.5536 | Layer 1 | Epoch 13  |
|           200 |     1292.3235 | Layer 2 | Epoch 13  |
|           300 |      150.7905 | Layer 1 | Epoch 13  |
|           300 |     1280.9651 | Layer 2 | Epoch 13  |
|           400 |      141.6159 | Layer 1 | Epoch 13  |
|           400 |     1283.8077 | Layer 2 | Epoch 13  |
|           500 |      138.8186 | Layer 1 | Epoch 13  |
|           500 |     1280.4729 | Layer 2 | Epoch 13  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      144.6522 | Layer 1 | Epoch 14  |
|             0 |     2477.0784 | Layer 2 | Epoch 14  |
|           100 |      145.4209 | Layer 1 | Epoch 14  |
|           100 |     1366.0181 | Layer 2 | Epoch 14  |
|           200 |      147.4985 | Layer 1 | Epoch 14  |
|           200 |     1290.4624 | Layer 2 | Epoch 14  |
|           300 |      144.8022 | Layer 1 | Epoch 14  |
|           300 |     1277.2242 | Layer 2 | Epoch 14  |
|           400 |      150.4717 | Layer 1 | Epoch 14  |
|           400 |     1264.9572 | Layer 2 | Epoch 14  |
|           500 |      145.0559 | Layer 1 | Epoch 14  |
|           500 |     1272.0027 | Layer 2 | Epoch 14  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      144.7357 | Layer 1 | Epoch 15  |
|             0 |     2510.0869 | Layer 2 | Epoch 15  |
|           100 |      140.9706 | Layer 1 | Epoch 15  |
|           100 |     1377.1445 | Layer 2 | Epoch 15  |
|           200 |      149.7807 | Layer 1 | Epoch 15  |
|           200 |     1286.5094 | Layer 2 | Epoch 15  |
|           300 |      145.9265 | Layer 1 | Epoch 15  |
|           300 |     1273.7965 | Layer 2 | Epoch 15  |
|           400 |      146.2535 | Layer 1 | Epoch 15  |
|           400 |     1275.6758 | Layer 2 | Epoch 15  |
|           500 |      143.1655 | Layer 1 | Epoch 15  |
|           500 |     1272.2725 | Layer 2 | Epoch 15  |



