


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|           500 |     1223.1259 | Layer 2 | Epoch 36  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      126.9717 | Layer 1 | Epoch 37  |
|             0 |     2488.4358 | Layer 2 | Epoch 37  |
|           100 |      124.0827 | Layer 1 | Epoch 37  |
|           100 |     1330.7664 | Layer 2 | Epoch 37  |
|           200 |      123.6116 | Layer 1 | Epoch 37  |
|           200 |     1248.9783 | Layer 2 | Epoch 37  |
|           300 |      128.5378 | Layer 1 | Epoch 37  |
|           300 |     1220.9640 | Layer 2 | Epoch 37  |
|           400 |      126.8012 | Layer 1 | Epoch 37  |
|           400 |     1231.0908 | Layer 2 | Epoch 37  |
|           500 |      127.7460 | Layer 1 | Epoch 37  |
|           500 |     1224.5643 | Layer 2 | Epoch 37  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      127.2851 | Layer 1 | Epoch 38  |
|             0 |     2499.8601 | Layer 2 | Epoch 38  |
|           100 |      128.2463 | Layer 1 | Epoch 38  |
|           100 |     1318.3416 | Layer 2 | Epoch 38  |
|           200 |      131.5760 | Layer 1 | Epoch 38  |
|           200 |     1248.0857 | Layer 2 | Epoch 38  |
|           300 |      126.6707 | Layer 1 | Epoch 38  |
|           300 |     1221.1851 | Layer 2 | Epoch 38  |
|           400 |      125.7919 | Layer 1 | Epoch 38  |
|           400 |     1218.6052 | Layer 2 | Epoch 38  |
|           500 |      126.8304 | Layer 1 | Epoch 38  |
|           500 |     1224.5410 | Layer 2 | Epoch 38  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      124.4287 | Layer 1 | Epoch 39  |
|             0 |     2474.7671 | Layer 2 | Epoch 39  |
|           100 |      127.8382 | Layer 1 | Epoch 39  |
|           100 |     1327.1776 | Layer 2 | Epoch 39  |
|           200 |      132.3212 | Layer 1 | Epoch 39  |
|           200 |     1238.4623 | Layer 2 | Epoch 39  |
|           300 |      128.2997 | Layer 1 | Epoch 39  |
|           300 |     1230.3118 | Layer 2 | Epoch 39  |
|           400 |      122.7486 | Layer 1 | Epoch 39  |
|           400 |     1229.6906 | Layer 2 | Epoch 39  |
|           500 |      124.8400 | Layer 1 | Epoch 39  |
|           500 |     1232.9875 | Layer 2 | Epoch 39  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      129.6386 | Layer 1 | Epoch 40  |
|             0 |     2458.2837 | Layer 2 | Epoch 40  |
|           100 |      126.7564 | Layer 1 | Epoch 40  |
|           100 |     1317.2673 | Layer 2 | Epoch 40  |
|           200 |      129.4191 | Layer 1 | Epoch 40  |
|           200 |     1243.3219 | Layer 2 | Epoch 40  |
|           300 |      125.9093 | Layer 1 | Epoch 40  |
|           300 |     1227.7402 | Layer 2 | Epoch 40  |
|           400 |      131.3475 | Layer 1 | Epoch 40  |
|           400 |     1216.2842 | Layer 2 | Epoch 40  |
|           500 |      125.4537 | Layer 1 | Epoch 40  |
|           500 |     1221.8914 | Layer 2 | Epoch 40  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      126.4656 | Layer 1 | Epoch 41  |
|             0 |     2520.6709 | Layer 2 | Epoch 41  |
|           100 |      124.2367 | Layer 1 | Epoch 41  |
|           100 |     1325.4993 | Layer 2 | Epoch 41  |
|           200 |      124.5229 | Layer 1 | Epoch 41  |
|           200 |     1238.7659 | Layer 2 | Epoch 41  |
|           300 |      128.7897 | Layer 1 | Epoch 41  |
|           300 |     1227.0024 | Layer 2 | Epoch 41  |
|           400 |      122.9497 | Layer 1 | Epoch 41  |
|           400 |     1221.6824 | Layer 2 | Epoch 41  |
|           500 |      118.4760 | Layer 1 | Epoch 41  |
|           500 |     1219.7822 | Layer 2 | Epoch 41  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      124.8649 | Layer 1 | Epoch 42  |
|             0 |     2516.8857 | Layer 2 | Epoch 42  |
|           100 |      131.2678 | Layer 1 | Epoch 42  |
|           100 |     1315.8855 | Layer 2 | Epoch 42  |
|           200 |      122.4011 | Layer 1 | Epoch 42  |
|           200 |     1244.4362 | Layer 2 | Epoch 42  |
|           300 |      126.3552 | Layer 1 | Epoch 42  |
|           300 |     1218.5737 | Layer 2 | Epoch 42  |
|           400 |      127.1685 | Layer 1 | Epoch 42  |
|           400 |     1218.6411 | Layer 2 | Epoch 42  |
|           500 |      127.7239 | Layer 1 | Epoch 42  |
|           500 |     1217.9221 | Layer 2 | Epoch 42  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      124.6365 | Layer 1 | Epoch 43  |
|             0 |     2479.1428 | Layer 2 | Epoch 43  |
|           100 |      131.3202 | Layer 1 | Epoch 43  |
|           100 |     1312.6451 | Layer 2 | Epoch 43  |
|           200 |      130.2414 | Layer 1 | Epoch 43  |
|           200 |     1240.6708 | Layer 2 | Epoch 43  |
|           300 |      127.6335 | Layer 1 | Epoch 43  |
|           300 |     1214.2607 | Layer 2 | Epoch 43  |
|           400 |      129.8762 | Layer 1 | Epoch 43  |
|           400 |     1218.1333 | Layer 2 | Epoch 43  |
|           500 |      128.9833 | Layer 1 | Epoch 43  |
|           500 |     1212.1025 | Layer 2 | Epoch 43  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      126.2817 | Layer 1 | Epoch 44  |
|             0 |     2455.8071 | Layer 2 | Epoch 44  |
|           100 |      120.8135 | Layer 1 | Epoch 44  |
|           100 |     1315.5474 | Layer 2 | Epoch 44  |
|           200 |      120.9821 | Layer 1 | Epoch 44  |
|           200 |     1233.0023 | Layer 2 | Epoch 44  |
|           300 |      124.8602 | Layer 1 | Epoch 44  |
|           300 |     1215.3121 | Layer 2 | Epoch 44  |
|           400 |      121.5366 | Layer 1 | Epoch 44  |
|           400 |     1218.3427 | Layer 2 | Epoch 44  |
|           500 |      129.4579 | Layer 1 | Epoch 44  |
|           500 |     1208.3701 | Layer 2 | Epoch 44  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      122.9852 | Layer 1 | Epoch 45  |
|             0 |     2502.9290 | Layer 2 | Epoch 45  |
|           100 |      120.7397 | Layer 1 | Epoch 45  |
|           100 |     1316.8022 | Layer 2 | Epoch 45  |
|           200 |      126.5571 | Layer 1 | Epoch 45  |
|           200 |     1218.6975 | Layer 2 | Epoch 45  |
|           300 |      124.7836 | Layer 1 | Epoch 45  |
|           300 |     1213.6160 | Layer 2 | Epoch 45  |
|           400 |      123.7930 | Layer 1 | Epoch 45  |
|           400 |     1213.9380 | Layer 2 | Epoch 45  |
|           500 |      124.3265 | Layer 1 | Epoch 45  |
|           500 |     1210.8325 | Layer 2 | Epoch 45  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      118.8345 | Layer 1 | Epoch 46  |
|             0 |     2540.1758 | Layer 2 | Epoch 46  |
|           100 |      120.2970 | Layer 1 | Epoch 46  |
|           100 |     1321.2917 | Layer 2 | Epoch 46  |
|           200 |      118.5653 | Layer 1 | Epoch 46  |
|           200 |     1241.0718 | Layer 2 | Epoch 46  |
|           300 |      118.2401 | Layer 1 | Epoch 46  |
|           300 |     1223.9774 | Layer 2 | Epoch 46  |
|           400 |      118.9200 | Layer 1 | Epoch 46  |
|           400 |     1220.5500 | Layer 2 | Epoch 46  |
|           500 |      126.7895 | Layer 1 | Epoch 46  |
|           500 |     1206.3250 | Layer 2 | Epoch 46  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      123.8926 | Layer 1 | Epoch 47  |
|             0 |     2543.4309 | Layer 2 | Epoch 47  |
|           100 |      125.6167 | Layer 1 | Epoch 47  |
|           100 |     1315.8240 | Layer 2 | Epoch 47  |
|           200 |      123.4084 | Layer 1 | Epoch 47  |
|           200 |     1224.8513 | Layer 2 | Epoch 47  |
|           300 |      123.0040 | Layer 1 | Epoch 47  |
|           300 |     1215.6357 | Layer 2 | Epoch 47  |
|           400 |      124.2212 | Layer 1 | Epoch 47  |
|           400 |     1206.8186 | Layer 2 | Epoch 47  |
|           500 |      116.9223 | Layer 1 | Epoch 47  |
|           500 |     1211.3826 | Layer 2 | Epoch 47  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      121.9382 | Layer 1 | Epoch 48  |
|             0 |     2549.1130 | Layer 2 | Epoch 48  |
|           100 |      122.1909 | Layer 1 | Epoch 48  |
|           100 |     1314.2980 | Layer 2 | Epoch 48  |
|           200 |      117.1364 | Layer 1 | Epoch 48  |
|           200 |     1241.7842 | Layer 2 | Epoch 48  |
|           300 |      124.8319 | Layer 1 | Epoch 48  |
|           300 |     1217.6562 | Layer 2 | Epoch 48  |
|           400 |      122.5469 | Layer 1 | Epoch 48  |
|           400 |     1209.4836 | Layer 2 | Epoch 48  |
|           500 |      119.0698 | Layer 1 | Epoch 48  |
|           500 |     1208.3228 | Layer 2 | Epoch 48  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      121.8820 | Layer 1 | Epoch 49  |
|             0 |     2544.7156 | Layer 2 | Epoch 49  |
|           100 |      123.3824 | Layer 1 | Epoch 49  |
|           100 |     1318.5995 | Layer 2 | Epoch 49  |
|           200 |      121.5799 | Layer 1 | Epoch 49  |
|           200 |     1223.9861 | Layer 2 | Epoch 49  |
|           300 |      121.5932 | Layer 1 | Epoch 49  |
|           300 |     1220.1150 | Layer 2 | Epoch 49  |
|           400 |      123.2826 | Layer 1 | Epoch 49  |
|           400 |     1215.4412 | Layer 2 | Epoch 49  |
|           500 |      118.3485 | Layer 1 | Epoch 49  |
|           500 |     1206.0322 | Layer 2 | Epoch 49  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      117.8436 | Layer 1 | Epoch 50  |
|             0 |     2603.8245 | Layer 2 | Epoch 50  |
|           100 |      122.9082 | Layer 1 | Epoch 50  |
|           100 |     1328.0684 | Layer 2 | Epoch 50  |
|           200 |      122.0978 | Layer 1 | Epoch 50  |
|           200 |     1228.7415 | Layer 2 | Epoch 50  |
|           300 |      122.9970 | Layer 1 | Epoch 50  |
|           300 |     1214.8257 | Layer 2 | Epoch 50  |
|           400 |      121.3858 | Layer 1 | Epoch 50  |
|           400 |     1217.2113 | Layer 2 | Epoch 50  |
|           500 |      117.0436 | Layer 1 | Epoch 50  |
|           500 |     1205.9437 | Layer 2 | Epoch 50  |
TIME IS =  -205
('Total time outer = ', 207)
